title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"British Literature, 1640-1789",Robert Demaria,literature,First published in 1996,/works/OL8223625W?edition=ia%3Abritishliteratur0000unse_c4b9,/authors/OL2735177A/Robert_Demaria,//covers.openlibrary.org/b/olid/OL7609326M-M.jpg,"Publish Date December 1996|Publisher  Blackwell Publishers,              Brand: Wiley-Blackwell,              Wiley-Blackwell|Language English|Pages 1211",This edition doesn't have a description yet. Can you add one?,0 Want to read|1 Currently reading|0 Have read
Altes Reich und Neue Dichtung,Markus Hien,literature,First published in 2015,/works/OL21552602W,/authors/OL8244204A/Markus_Hien,//covers.openlibrary.org/b/olid/OL29241387M-M.jpg,"Publish Date 2015|Publisher  De Gruyter, Inc.,              De Gruyter,              de Gruyter|Language German|Pages 636",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Deviant women,Tiina Mäntymäki,literature,First published in 2014,/works/OL23220400W,/authors/OL8802663A/Tiina_Mäntymäki,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  PL Academic Research|Language English|Pages 240,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Terry McMillan,Paulette Richards,literature,First published in 1999,/works/OL34382W?edition=ia%3Aterrymcmillancri00rich,/authors/OL25028A/Paulette_Richards,//covers.openlibrary.org/b/olid/OL38705M-M.jpg,Publish Date 1999|Publisher  Greenwood Press|Language English|Pages 166,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Then & now,Floyd C. Watkins,literature,First published in 1982,/works/OL1313660W?edition=ia%3Athennowpersonalp0000watk,/authors/OL133535A/Floyd_C._Watkins,//covers.openlibrary.org/b/olid/OL3786776M-M.jpg,Publish Date 1982|Publisher  University Press of Kentucky|Language English|Pages 184,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Arthur of Albion,Richard W. Barber,literature,First published in 1961,/works/OL2927149W,/authors/OL446125A/Richard_W._Barber,/images/icons/avatar_book-sm.png,"Publish Date 1971|Publisher  (60 Stanhope Gardens, S.W.7), Boydell Press|Language English|Pages 216",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Gender at Work in Victorian Culture,Martin A. Danahay,literature,First published in 2005,/works/OL4310188W,/authors/OL838114A/Martin_A._Danahay,//covers.openlibrary.org/b/olid/OL7991212M-M.jpg,Publish Date September 2005|Publisher  Ashgate Publishing|Language English|Pages 180,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
An outline of the religious literature of India,J. N. Farquhar,literature,First published in 1920,/works/OL43126W?edition=ia%3Aoutlineofreligio00farqrich,/authors/OL10031A/J._N._Farquhar,//covers.openlibrary.org/b/olid/OL6633755M-M.jpg,"Publish Date 1920|Publisher  H. Milford, Oxford university press|Language English|Pages 451",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
More Writers of the Spanish Civil War,Celia M. Wallhead,literature,First published in 2018,/works/OL21345741W,/authors/OL3504290A/Celia_M._Wallhead,/images/icons/avatar_book-sm.png,"Publish Date 2018|Publisher  Lang AG International Academic Publishers, Peter|Language English|Pages 372",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Conscience in Early Modern English Literature,Abraham Stoll,literature,First published in 2017,/works/OL22533657W,/authors/OL8611392A/Abraham_Stoll,/images/icons/avatar_book-sm.png,Publish Date 2021|Publisher  University of Cambridge ESOL Examinations|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
