title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
The Chinese & Asian cookbook,Sallie Morris,cooking,First published in 2003,/works/OL26455505W?edition=ia%3Achineseasiancook0000morr,/authors/OL2802625A/Sallie_Morris,//covers.openlibrary.org/b/olid/OL11910457M-M.jpg,Publish Date 2003|Publisher  Hermes House|Language English|Pages 320,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
500 plats végétaliens,Deborah Gray,cooking,First published in 2012,/works/OL26437138W?edition=ia%3A500platsvegetali0000gray,/authors/OL662397A/Deborah_Gray,//archive.org/services/img/500platsvegetali0000gray,Publish Date 2012|Publisher  Éditions Publistar|Language French|Pages 288,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Mediterranean Cookery,Claudia Roden,cooking,First published in 1998,/works/OL2648188W?edition=ia%3Amediterraneancoo0000rode_c4a8,/authors/OL386071A/Claudia_Roden,//covers.openlibrary.org/b/olid/OL7351872M-M.jpg,"Publish Date June 25, 1998|Publisher  Penguin Books Ltd|Pages 400",This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Football Cookbooks,Katrina Jorgensen,cooking,First published in 2015,/works/OL26788700W,/authors/OL7611440A/Katrina_Jorgensen,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  Capstone|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Hamburgers,Joanne Mattern,cooking,First published in 2021,/works/OL26807615W,/authors/OL5291646A/Joanne_Mattern,/images/icons/avatar_book-sm.png,Publish Date 2021|Publisher  Bellwether Media|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Doughnuts,Joanne Mattern,cooking,First published in 2021,/works/OL26807604W,/authors/OL5291646A/Joanne_Mattern,/images/icons/avatar_book-sm.png,Publish Date 2021|Publisher  Bellwether Media|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Electric Pressure Cooker Recipe B,Norma Miller,cooking,First published in 2012,/works/OL25732016W,/authors/OL6301469A/Norma_Miller,/images/icons/avatar_book-sm.png,"Publish Date 2012|Publisher  Little, Brown Book Group Limited|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Super Grains,Joanna Farrow,cooking,First published in 2017,/works/OL25705987W?edition=ia%3Aisbn_9781845436803,/authors/OL589508A/Joanna_Farrow,//covers.openlibrary.org/b/olid/OL34541826M-M.jpg,Publish Date 2017|Publisher  Quarto Publishing Group UK|Language English|Pages 192,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
National Apprenticeship Training Program for Cooks Supervising Chef's Resource Guide,American Technical Pubishers (ATP) Ameri...,cooking,First published in 2012,/works/OL25629870W,/authors/OL9684648A/American_Technical_Pubishers_(ATP)_American_Technical_Pubishers_(ATP),/images/icons/avatar_book-sm.png,"Publish Date 2012|Publisher  American Technical Publishers, Incorporated|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Mediterranean Cuisine,Academia Barilla Staff,cooking,First published in 2014,/works/OL25732273W,/authors/OL9485357A/Academia_Barilla_Staff,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  White Star Publishers|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
