title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
A nonparametric approach to perceptions-based market segmentation,Josef A Mazanec,business__economics,First published in 2000,/works/OL12011495W?edition=ia%3Anonparametricapp0000maza,/authors/OL5183941A/Josef_A_Mazanec,//covers.openlibrary.org/b/olid/OL17016642M-M.jpg,Publish Date 2000|Publisher  Springer|Language English|Pages 195,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The guide to Internet job searching,Margaret F. Dikel,business__economics,First published in 1998,/works/OL9271307W?edition=ia%3Aguidetointernetj00marg_0,/authors/OL3325509A/Margaret_F._Dikel,//covers.openlibrary.org/b/olid/OL21857660M-M.jpg,Publish Date 1998|Publisher  VGM Career Horizons|Language English|Pages 278,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Families and the energy transition,David A. Schulz,business__economics,First published in 1985,/works/OL18268903W,/authors/OL1075353A/David_A._Schulz,//covers.openlibrary.org/b/olid/OL2536853M-M.jpg,Publish Date 1985|Publisher  Haworth Press|Language English|Pages 307,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Global Food Security Governance,Jessica Duncan,business__economics,First published in 2015,/works/OL20314492W,/authors/OL7699681A/Jessica_Duncan,//covers.openlibrary.org/b/olid/OL27519178M-M.jpg,"Publish Date Mar 24, 2015|Publisher  Routledge|Pages 254",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Paradox of Scale,Cristina M. Balboa,business__economics,First published in 2018,/works/OL20186817W,/authors/OL7648793A/Cristina_M._Balboa,//covers.openlibrary.org/b/olid/OL27372309M-M.jpg,"Publish Date Nov 13, 2018|Publisher  MIT Press|Pages 252",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Human factors in intelligent transportation systems,Woodrow Barfield,business__economics,First published in 1998,/works/OL18321281W?edition=ia%3Ahumanfactorsinin0000unse_e7c4,/authors/OL6812630A/Woodrow_Barfield,//covers.openlibrary.org/b/olid/OL668634M-M.jpg,Publish Date 1998|Publisher  Lawrence Erlbaum Associates|Language English|Pages 458,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Managing the next generation of public workers,Madinah F. Hamidullah,business__economics,First published in 2015,/works/OL20008110W,/authors/OL7602587A/Madinah_F._Hamidullah,/images/icons/avatar_book-sm.png,Publish Date 2016|Publisher  Routledge|Language English|Pages 121,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Party Hegemony and Entrepreneurial Power in China,Elena Meyer-Clement,business__economics,First published in 2015,/works/OL21296924W,/authors/OL8158313A/Elena_Meyer-Clement,/images/icons/avatar_book-sm.png,Publish Date 2015|Publisher  Taylor & Francis Group|Language English|Pages 284,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Organizational perspectives on environmental migration,François Gemenne,business__economics,First published in 2015,/works/OL22317381W,/authors/OL6791375A/François_Gemenne,/images/icons/avatar_book-sm.png,Publish Date 2016|Publisher  Routledge|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Early English intercourse with Burma, 1587-1743","Hall, D. G. E.",business__economics,First published in 1928,/works/OL1301898W,/authors/OL132239A/Hall_D._G._E.,//covers.openlibrary.org/b/olid/OL4323869M-M.jpg,Publish Date 1968|Publisher  Cass|Language English|Pages 357,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Public policies for environmental protection,Paul R. Portney,business__economics,First published in 2000,/works/OL18169658W?edition=ia%3Aisbn_9781891853036,/authors/OL2866910A/Paul_R._Portney,//covers.openlibrary.org/b/olid/OL8717630M-M.jpg,"Publish Date August 4, 2000|Publisher  RFF Press,              Resources for the Future|Language English|Pages 304",This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Museum materialities,Sandra Dudley,business__economics,First published in 2009,/works/OL15451561W,/authors/OL6769418A/Sandra_Dudley,//covers.openlibrary.org/b/olid/OL24418642M-M.jpg,Publish Date 2010|Publisher  Routledge|Language English|Pages 289,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Routledge Handbook of South-South Relations,Elena Fiddian-Qasmiyeh,business__economics,First published in 2018,/works/OL25229456W,/authors/OL7492591A/Elena_Fiddian-Qasmiyeh,/images/icons/avatar_book-sm.png,Publish Date 2018|Publisher  Taylor & Francis Group|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Massage,Martin Ashley,business__economics,First published in 2002,/works/OL12625257W?edition=ia%3Amassagecareeraty0000ashl_z1o4,/authors/OL5627749A/Martin_Ashley,//covers.openlibrary.org/b/olid/OL23020966M-M.jpg,Publish Date 2003|Publisher  Enterprise Pub.|Language English|Pages 315,This edition doesn't have a description yet. Can you add one?,4 Want to read|0 Currently reading|0 Have read
"Study Guide for Moyer/McGuigan/Rao's Fundamentals of Contemporary Financial Management, 2nd",R. Charles Moyer,business__economics,First published in 2006,/works/OL9573521M,/authors/OL391724A/R._Charles_Moyer,//covers.openlibrary.org/b/olid/OL9573521M-M.jpg,"Publish Date April 27, 2006|Publisher  South-Western College Pub|Language English|Pages 384",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Study Guide for Moyer/McGuigan/Kretlow's Contemporary Financial Management , 10th",R. Charles Moyer,business__economics,First published in 2004,/works/OL9467335M,/authors/OL391724A/R._Charles_Moyer,//covers.openlibrary.org/b/olid/OL9467335M-M.jpg,"Publish Date December 30, 2004|Publisher  South-Western College Pub|Language English|Pages 464",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Advanced Capital Budgeting,Harold Bierman,business__economics,First published in 2006,/works/OL9785525M,/authors/OL395748A/Harold_Bierman,/images/icons/avatar_book-sm.png,"Publish Date March 10, 2006|Publisher  South-Western College Pub|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
