title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Summary of Pete Hegseth's Battle for the American Mind,I. R. B. Media,political_science,First published in 2022,/works/OL34080433W,/authors/OL9615339A/I._R._B._Media,/images/icons/avatar_book-sm.png,Publish Date 2022|Publisher  IRB MEDIA|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Introduction to Politics (Works of Harold J. Laski),Harold J. Laski,political_science,First published in 2014,/works/OL34022010W,/authors/OL7704787A/Harold_J._Laski,/images/icons/avatar_book-sm.png,Publish Date 2014|Publisher  Routledge|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Dictionary of Political Quotations,Lewis D. Eigen,political_science,First published in 1994,/works/OL34326606W,/authors/OL672477A/Lewis_D._Eigen,/images/icons/avatar_book-sm.png,"Publish Date November 30, 1994|Publisher  Robert Hale Ltd,              The Crowood Press|Pages 800",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Paying the Price,L. Todd Wood,political_science,First published in 2023,/works/OL34358733W,/authors/OL8335480A/L._Todd_Wood,/images/icons/avatar_book-sm.png,Publish Date 2023|Publisher  Histria Books|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Narcotic drug control,Carnegie Endowment for International Pea...,political_science,First published in 1952,/works/OL5119166W,/authors/OL1128374A/Carnegie_Endowment_for_International_Peace,/images/icons/avatar_book-sm.png,Publish Date 1952|Language English|Pages 536,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Saggi di filosofia della politica,Dino Pasini,political_science,First published in 1981,/works/OL5164869W,/authors/OL1146395A/Dino_Pasini,/images/icons/avatar_book-sm.png,Publish Date 1981|Publisher  Giuffrè|Language Italian|Pages 116,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"A sermon addressed to the Legislature of the state of Connecticut, at the annual election in Hartford, May 7, 1823",Nathaniel W. Taylor,political_science,First published in 1823,/works/OL4957732W,/authors/OL1069801A/Nathaniel_W._Taylor,/images/icons/avatar_book-sm.png,Publish Date 1823|Publisher  A.H. Maltby|Language English|Pages 40,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Staatsform 2000,"Trautmann, Werner",political_science,First published in 1980,/works/OL4510625W,/authors/OL904167A/Trautmann_Werner,/images/icons/avatar_book-sm.png,Publish Date 1980|Publisher  Spee-Verlag|Language German|Pages 150,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Il senso dello Stato,"Ferrari, Giuseppe",political_science,First published in 1990,/works/OL4518990W,/authors/OL906907A/Ferrari_Giuseppe,/images/icons/avatar_book-sm.png,Publish Date 1990|Publisher  CEDAM|Language Italian|Pages 127,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Friedensforschung und Friedensaktion,Hylke Tromp,political_science,,/works/OL5017073W,/authors/OL1089792A/Hylke_Tromp,/images/icons/avatar_book-sm.png,Publisher  Deutsche Gesellschaft für Friedens- und Konfliktforschung|Pages 26,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Pestalozzis Staats- und Rechtsverständnis und seine Stellung in der Aufklärung,Helen Bosshard,political_science,First published in 1983,/works/OL5070021W,/authors/OL1111062A/Helen_Bosshard,/images/icons/avatar_book-sm.png,Publish Date 1983|Publisher  P. Lang|Language German|Pages 181,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Bibliography of Dutch seventeenth century political thought,G. O. van de Klashorst,political_science,First published in 1986,/works/OL5022588W,/authors/OL1092076A/G._O._van_de_Klashorst,/images/icons/avatar_book-sm.png,Publish Date 1986|Publisher  APA-Holland University Press|Language English|Pages 162,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Politicheskai͡a︡ i pravovai͡a︡ myslʹ na Ukraine, 1861-1917",O. F. Skakun,political_science,First published in 1987,/works/OL5040871W,/authors/OL1098655A/O._F._Skakun,/images/icons/avatar_book-sm.png,"Publish Date 1987|Publisher  Izd-vo pri Kharʹkovskom gos. universitete izdatelʹskogo obʺedinenii͡a︡ ""Vyshcha shkola""|Language Russian|Pages 157",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Der zerdachte Staat,Walter Wannenmacher,political_science,First published in 1979,/works/OL5016118W,/authors/OL1089353A/Walter_Wannenmacher,//covers.openlibrary.org/b/olid/OL4184609M-M.jpg,Publish Date 1979|Publisher  Deutsche Verlags-Anstalt|Language German|Pages 254,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Das Lexikon der Politik,Heiner Emde,political_science,First published in 1975,/works/OL5023426W,/authors/OL1092437A/Heiner_Emde,/images/icons/avatar_book-sm.png,Publish Date 1975|Publisher  Heyne|Language German|Pages 170,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Podstawy teorii państwa,Marek Sobolewski,political_science,First published in 1986,/works/OL5033119W,/authors/OL1095726A/Marek_Sobolewski,/images/icons/avatar_book-sm.png,Publish Date 1986|Publisher  Nakł. Uniwersytetu Jagiellońskiego|Language Polish|Pages 161,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"Gesellschaft, Staat und Recht, untersuchungen zur reinem Rechtslehre",Alfred Verdross,political_science,First published in 1931,/works/OL5033009W,/authors/OL1095688A/Alfred_Verdross,/images/icons/avatar_book-sm.png,Publish Date 1931|Publisher  J. Springer|Language German|Pages 441,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Breve diccionario político,Oscar Arévalo,political_science,First published in 1981,/works/OL5177755W,/authors/OL1152772A/Oscar_Arévalo,/images/icons/avatar_book-sm.png,Publish Date 1981|Publisher  Editorial Cartago|Language Spanish|Pages 141,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Zur Staatslehre Wilhelm von Humboldts,John Lekschas,political_science,First published in 1981,/works/OL5241123W,/authors/OL1177890A/John_Lekschas,/images/icons/avatar_book-sm.png,Publish Date 1981|Publisher  Akademie-Verlag|Language German|Pages 22,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Ideologie,Kurt Salamun,political_science,First published in 1968,/works/OL5168821W,/authors/OL1148909A/Kurt_Salamun,/images/icons/avatar_book-sm.png,Publish Date 1968|Publisher  VBH Retzhoff]|Language German|Pages 27,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Dasavluri politikur-pʻilisopʻiuri możġvrebebis istoria,Guram Levanovich Asatiani,political_science,First published in 2003,/works/OL5170241W,/authors/OL1149465A/Guram_Levanovich_Asatiani,/images/icons/avatar_book-sm.png,Publish Date 2003|Publisher  Tʻbilisis universitetis gamomcʻemloba|Language Georgian|Pages 310,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Elemente der verwaltungslehre nach juristischen und soziologischen gesichtspunkten,Gustav Kühnel,political_science,First published in 1934,/works/OL4512228W,/authors/OL904741A/Gustav_Kühnel,/images/icons/avatar_book-sm.png,Publish Date 1934|Publisher  F. Deuticke|Language German|Pages 91,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Demokratie braucht Widerstand,Severin Renoldner,political_science,First published in 1991,/works/OL4358238W,/authors/OL855366A/Severin_Renoldner,/images/icons/avatar_book-sm.png,Publish Date 1991|Publisher  Edition Sandkorn|Language German|Pages 118,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
