title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"[Resolution to investigate financial system, 2 pts.]",,finance,First published in 1892,/works/OL16015129M,,/images/icons/avatar_book-sm.png,Publish Date 1892|Publisher  [s.n.]|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Investing for your future,,finance,First published in 2000,/works/OL16049258M,,/images/icons/avatar_book-sm.png,"Publish Date 2000|Publisher  Oregon State University Extension Service,              Washington State University Cooperative Extension Service,              University of Idaho Cooperative Extension Service|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Oregon highway revenue,,finance,First published in 1996,/works/OL16116008M,,/images/icons/avatar_book-sm.png,"Publish Date 1996|Publisher  State of Oregon, Legislative Revenue Office|Language English",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
K-12 and ESD school finance,,finance,First published in 2006,/works/OL16142806M,,/images/icons/avatar_book-sm.png,Publish Date 2006|Publisher  Legislative Revenue Office|Language English|Pages 14,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
2003-05 K-12 funding update.,,finance,First published in 2004,/works/OL16110577M,,/images/icons/avatar_book-sm.png,Publish Date 2004|Publisher  Legislative Fiscal Office|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Finansirovanie narodnogo khozyaĭstva,,finance,First published in 1966,/works/OL16828843M,,/images/icons/avatar_book-sm.png,Publish Date 1966|Publisher  Finansȳ|Language Russian|Pages 302,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Handbook of Australian corporate finance,,finance,First published in 1986,/works/OL15197553M,,/images/icons/avatar_book-sm.png,Publish Date 1986|Publisher  Butterworths|Language English|Pages 458,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Forward Oregon,,finance,First published in 1993,/works/OL15202679M,,/images/icons/avatar_book-sm.png,"Publish Date 1993|Publisher  Oregon Dept. of Transportation,              Association of Oregon Counties,              League of Oregon Cities|Language English|Pages 108",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Loans to small business,,finance,First published in 1944,/works/OL15443768M,,/images/icons/avatar_book-sm.png,Publish Date 1944|Publisher  Smaller War Plants Corporation|Language English|Pages 15,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Charitable giving,,finance,First published in 2003,/works/OL15446362M,,/images/icons/avatar_book-sm.png,Publish Date 2003|Publisher  Charitable Law Section|Language English,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
cost-effectiveness study of leased public housing,,finance,First published in 1976,/works/OL16600987M,,/images/icons/avatar_book-sm.png,"Publish Date 1976|Publisher  Institute for Research on Poverty, University of Wisconsin|Language English|Pages 35",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Maximizing personal wealth.,,finance,First published in 1982,/works/OL16608906M,,/images/icons/avatar_book-sm.png,,,
Risk and reward in PFI contracts,,finance,First published in 1996,/works/OL16678011M,,/images/icons/avatar_book-sm.png,,,
"Administración fiscal, presupuesto, descentralización.",Leopoldo Lascarro,finance,First published in 1965,/works/OL16630836M,/authors/OL2112918A/Leopoldo_Lascarro,/images/icons/avatar_book-sm.png,Publish Date 1965|Publisher  Editorial Andes|Language Spanish|Pages 246,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
marché du travail et l'inflation.,,finance,First published in 1968,/works/OL16635772M,,/images/icons/avatar_book-sm.png,Publish Date 1968|Publisher  Librarie Sociale et Economique|Language French|Pages 265,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
