title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
La gamme et le langage musical,Eric Emery,music,First published in 1961,/works/OL1414189W,/authors/OL146149A/Eric_Emery,/images/icons/avatar_book-sm.png,Publish Date 1961|Publisher  Presses universitaires de France|Language French|Pages 164,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Just intonation and the combination of harmonic diatonic melodic groups,A. D. Fokker,music,First published in 1949,/works/OL1447825W,/authors/OL152008A/A._D._Fokker,/images/icons/avatar_book-sm.png,Publish Date 1949|Publisher  M. Nijhoff|Language English|Pages 80,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
La musique d'église,Henri Potiron,music,First published in 1945,/works/OL1445132W,/authors/OL151470A/Henri_Potiron,/images/icons/avatar_book-sm.png,Publish Date 1945|Publisher  H. Laurens|Language French|Pages 122,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"About music, and what it is made of",Oliveria Prescott,music,First published in 1904,/works/OL13786878W?edition=ia%3Aaboutmusicwhatit00presrich,/authors/OL6627619A/Oliveria_Prescott,//covers.openlibrary.org/b/olid/OL23266355M-M.jpg,Publish Date 1904|Publisher  Methuen|Language English|Pages 276,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
La música en el socialismo,Georg Knepler,music,First published in 1985,/works/OL1410832W,/authors/OL145635A/Georg_Knepler,/images/icons/avatar_book-sm.png,"Publish Date 1985|Publisher  Centro de Investigación y Desarrollo de la Música Cubana, Dpto. de Documentación e Información|Language Spanish",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The perception of music symbols in music reading by normal children,University of Wisconsin,music,First published in 1959,/works/OL1491865W,/authors/OL159295A/University_of_Wisconsin,/images/icons/avatar_book-sm.png,Publish Date 1959|Language English|Pages 121,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
SPOTLIGHT ON MUSIC 4 (H) TX,a,music,First published in 2006,/works/OL14923161W?edition=ia%3Aspotlightonmusic0000unse_u1e6,/authors/OL2627058A/a,//covers.openlibrary.org/b/olid/OL9928921M-M.jpg,Publish Date 2006|Publisher  MCGRAW HILL,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Grillparzer und die musik,Anna Charlotte Wutzky,music,First published in 1940,/works/OL1456488W,/authors/OL153787A/Anna_Charlotte_Wutzky,/images/icons/avatar_book-sm.png,Publish Date 1940|Publisher  G. Bosse|Language German|Pages 125,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
La musique dans l'école,Michèle Alten,music,First published in 1995,/works/OL11665643W,/authors/OL4933945A/Michèle_Alten,/images/icons/avatar_book-sm.png,Publish Date 1995|Publisher  EAP|Language French|Pages 240,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
Learning fundamental concepts of music,Virginia Austin,music,First published in 1982,/works/OL11692339W,/authors/OL4953411A/Virginia_Austin,/images/icons/avatar_book-sm.png,Publish Date 1982|Publisher  Ginn Custom Publishing|Language English|Pages 223,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
